REF_DATE,house_price,rate,gdp,cpi,construction,absorption
1997-07,65.4,3.5,1256378,90.5,42859,1420
1997-10,65.4,3.75,1265026,90.6,36904,1352
1998-01,65.8,4.5,1271935,90.9,23578,1419
1998-04,65.9,5,1289440,91,42093,1395
1998-07,66.1,5,1284777,91.4,37395,850
1998-10,66.1,5.5,1304826,91.6,34373,1193
1999-01,66.1,5.25,1328603,91.5,23376,1076
1999-04,66.3,5,1341417,92.5,44936,1498
1999-07,66.5,4.75,1357202,93.1,41591,1570
1999-10,66.9,4.75,1377995,93.7,40065,1682
2000-01,67.3,5,1399166,93.5,25535,1631
2000-04,67.7,5.5,1414301,94.5,42746,1398
2000-07,68.1,6,1435970,95.8,43938,2012
2000-10,68.5,6,1448141,96.3,39434,1775
2001-01,69,5.75,1448533,96.3,27171,2615
2001-04,69.6,5,1446851,97.8,48414,1575
2001-07,70.1,4.5,1448680,98.4,43299,1471
2001-10,70.4,3,1453618,98.1,43849,3544
2002-01,71,2.25,1474566,97.6,36140,1512
2002-04,72.1,2.5,1490966,99.5,59160,1743
2002-07,72.9,3,1500141,100.5,55730,2184
2002-10,73.7,3,1511004,101.2,54004,2522
2003-01,74.6,3,1513091,102,38270,1734
2003-04,75.4,3.5,1510818,102.4,59150,1868
2003-07,76.3,3.25,1525998,102.6,62771,1920
2003-10,77.4,3,1538264,102.8,58235,2239
2004-01,78.4,2.75,1545086,103.3,39382,2281
2004-04,79.6,2.25,1561417,104.1,67378,1749
2004-07,80.9,2.25,1574374,105,65754,2412
2004-10,81.7,2.75,1587794,105.2,60917,1957
2005-01,82.4,2.75,1597481,105.3,37084,1748
2005-04,83.4,2.75,1605774,106.6,67183,1715
2005-07,84.7,2.75,1621406,107.1,62809,1637
2005-10,86.1,3.25,1635860,107.9,58405,1687
2006-01,87.9,3.75,1656025,108.2,43917,1427
2006-04,90.4,4.25,1664612,109.2,65229,1330
2006-07,93.8,4.5,1664479,109.6,60197,1680
2006-10,95.9,4.5,1663438,109,58052,1075
2007-01,96.8,4.5,1678353,109.4,40716,1514
2007-04,98.4,4.5,1690981,111.6,64615,1284
2007-07,101,4.75,1701321,112,67838,1681
2007-10,101.8,4.75,1703451,111.6,55174,1487
2008-01,103,4.25,1703827,111.8,43610,1034
2008-04,103.6,3.25,1706566,113.5,62087,1195
2008-07,103.7,3.25,1723844,115.8,58292,1457
2008-10,103.3,2.5,1719285,114.5,47067,1534
2009-01,102.2,1.25,1663759,113,23772,1086
2009-04,100.5,0.5,1641280,113.9,35798,1103
2009-07,100.4,0.5,1643104,114.7,42934,1006
2009-10,101.2,0.5,1657869,114.6,46577,909
2010-01,102.3,0.5,1682490,115.1,35014,807
2010-04,102.9,0.5,1694814,116,55287,864
2010-07,103.3,1,1709916,116.8,52671,1301
2010-10,103.6,1.25,1723677,117.4,46958,989
2011-01,104.2,1.25,1746679,117.8,33553,772
2011-04,104.9,1.25,1753896,119.8,52625,669
2011-07,105.7,1.25,1767746,120,55615,1014
2011-10,106.2,1.25,1780091,120.8,52157,953
2012-01,106.7,1.25,1789067,120.7,39902,1290
2012-04,107.5,1.25,1795010,122.2,62025,999
2012-07,108.1,1.25,1802311,121.5,60338,1236
2012-10,108.7,1.25,1799029,122.2,52562,1128
2013-01,109.1,1.25,1816324,121.3,33477,942
2013-04,109.6,1.25,1833854,122.7,51259,966
2013-07,110.1,1.25,1841475,123.1,52734,1085
2013-10,110.3,1.25,1866772,123,50453,926
2014-01,110.7,1.25,1865998,123.1,33923,786
2014-04,111.3,1.25,1885802,125.2,53281,916
2014-07,111.6,1.25,1899137,125.7,53961,870
2014-10,112.1,1.25,1915844,125.9,48164,1031
2015-01,112.2,1,1911198,124.3,35175,1073
2015-04,112.5,1,1906000,126.2,52248,717
2015-07,113.1,0.75,1916437,127.3,57427,725
2015-10,113.8,0.75,1912897,127.2,50685,716
2016-01,114.2,0.75,1930897,126.8,38175,1083
2016-04,114.9,0.75,1922768,128.3,53286,986
